gene	disease
HYLS1	Hydrolethalus syndrome 1;Hydrolethalus syndrome
HYPM	Short stature
IARS	Growth retardation, intellectual developmental disorder, hypotonia, and hepatopathy
IARS2	growth hormone deficiency with short stature;Peripheral neuropathy;Cataract;partial sensorineural deafness;Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia
IBA57	Multiple mitochondrial dysfunctions syndrome 3;Spastic paraplegia 74, autosomal recessive
ICAM1	Malaria, cerebral, susceptibility to
ICK	Short Rib Polydactyly Syndrome;Endocrine-cerebroosteodysplasia;EPILEPSY, JUVENILE MYOCLONIC, SUSCEPTIBILITY TO, 10
ICOS	Common variable immunodeficiency 1
ICOSLG	Inborn genetic diseases
ICR1	Beckwith-Wiedemann syndrome;Wilms tumor 2
IDH1	Lung adenocarcinoma;Glioblastoma;Multiple myeloma;Neoplasm of the breast;Adenoid cystic carcinoma;Astrocytoma;Hepatocellular carcinoma;Brainstem glioma;Transitional cell carcinoma of the bladder;Myelodysplastic syndrome;Neoplasm of brain;Glioblastoma multiforme, somatic;Acute myeloid leukemia;Neoplasm of the large intestine;Oligodendroglioma;Malignant melanoma of skin;Adenocarcinoma of prostate;Medulloblastoma
IDH2	Hepatocellular carcinoma;Brainstem glioma;Myelodysplastic syndrome;Neoplasm of brain;Multiple myeloma;D-2-hydroxyglutaric aciduria 2;Acute myeloid leukemia;Squamous cell carcinoma of the head and neck;Neoplasm of the large intestine
IDH3B	Retinitis pigmentosa 46
IDS	Schizophrenia;Autistic disorder of childhood onset;Mucopolysaccharidosis, type II, severe form;Mucopolysaccharidosis, MPS-II
IDUA	Dysostosis multiplex;Mucopolysaccharidosis, MPS-I-S;Mucopolysaccharidosis, MPS-I-H/S;Mucopolysaccharidosis type I
IER3IP1	Microcephaly, epilepsy, and diabetes syndrome;Rolandic epilepsy
IFIH1	Aicardi-Goutieres syndrome 7;Singleton-Merten syndrome 1
IFITM3	Influenza
IFITM5	Osteogenesis imperfecta type 5
IFNAR2	Immunodeficiency 45;Hepatitis b virus, susceptibility to
IFNG	Tsc2 angiomyolipomas, renal, modifier of;Aplastic anemia, susceptibility to
IFNGR1	Mycobacterium tuberculosis, susceptibility to;Immunodeficiency 27b;Interferon gamma receptor deficiency;Disseminated atypical mycobacterial infection
IFNGR2	Immunodeficiency 28
IFT122	Cranioectodermal dysplasia 1
IFT140	Short-rib thoracic dysplasia without polydactyly;Retinitis pigmentosa;Renal dysplasia, retinal pigmentary dystrophy, cerebellar ataxia and skeletal dysplasia;Retinitis pigmentosa 80;Joubert syndrome with Jeune asphyxiating thoracic dystrophy;Cranioectodermal dysplasia;Jeune thoracic dystrophy;Retinal ciliopathy due to mutation in the retinitis pigmentosa-1 gene
IFT172	Short-rib thoracic dysplasia 10 without polydactyly;Short-rib thoracic dysplasia 10 with polydactyly;Joubert syndrome;Short-rib thoracic dysplasia 10 with or without polydactyly;Short rib-polydactyly syndrome, Majewski type;Retinitis pigmentosa 71
IFT27	Bardet-Biedl syndrome 19;Bardet-Biedl syndrome
IFT43	SHORT-RIB THORACIC DYSPLASIA 18 WITH POLYDACTYLY;Cranioectodermal dysplasia 3;Retinitis pigmentosa 81
IFT52	Short Rib Polydactyly Syndrome;Short-rib thoracic dysplasia 16 with or without polydactyly
IFT57	OROFACIODIGITAL SYNDROME XVIII
IFT74	Bardet-Biedl syndrome 20;Bardet-Biedl syndrome
IFT80	Jeune thoracic dystrophy;Asphyxiating thoracic dystrophy 2;Type IV short rib polydactyly syndrome
IFT81	Jeune thoracic dystrophy;Short stature;SHORT-RIB THORACIC DYSPLASIA 19 WITH OR WITHOUT POLYDACTYLY;SHORT-RIB THORACIC DYSPLASIA 19 WITHOUT POLYDACTYLY
IGF1	Insulin-like growth factor I deficiency
IGF1R	Inborn genetic diseases
IGF2	Russell-Silver syndrome;Growth restriction, severe, with distinctive facies
IGF2BP2	Diabetes mellitus type 2
IGF2R	Hepatocellular carcinoma
IGFALS	Acid-labile subunit deficiency
IGFBP4	Abnormality of brain morphology
IGFBP7	Retinal arterial macroaneurysm with supravascular pulmonic stenosis
IGHM	Agammaglobulinemia, non-Bruton type
IGHMBP2	Hammertoe;Respiratory distress;Lower limb muscle weakness;Failure to thrive;Charcot-Marie-Tooth disease, axonal, type 2S;Clonus;Tachypnea;IGHMBP2-related condition;Charcot-Marie-Tooth disease;Ptosis;Severe muscular hypotonia;Hyperreflexia;Spinal muscular atrophy, distal, autosomal recessive, 1;Werdnig-Hoffmann disease;Difficulty walking;Inability to walk;Progressive muscle weakness;Inborn genetic diseases
IGLL1	Agammaglobulinemia 2, autosomal recessive
IGSF1	Hypothyroidism, central, and testicular enlargement
IGSF3	Lacrimal duct defect
IHH	Acrocapitofemoral dysplasia;Type A1 brachydactyly;Hirschsprung disease 1
IKBKB	IMMUNODEFICIENCY 15A;Immunodeficiency 15
IKBKG	Schizophrenia;Autistic disorder of childhood onset;Hypohidrotic ectodermal dysplasia with immune deficiency;Familial atypical mycobacteriosis, type 1, X-linked;Incontinentia pigmenti syndrome;Immunodeficiency without anhidrotic ectodermal dysplasia;Ectodermal dysplasia, anhidrotic, with immunodeficiency, osteopetrosis, and lymphedema
IKZF1	Immunodeficiency, common variable, 13
IL10	Graft-versus-host disease, resistance to;Rheumatoid arthritis, progression of;Human immunodeficiency virus type 1, susceptibility to
IL10RA	Inflammatory bowel disease 28
IL10RB	Inflammatory bowel disease 25, autosomal recessive
IL11RA	Craniosynostosis and dental anomalies
IL12B	Immunodeficiency 29
IL12RB1	Immunodeficiency 30
IL13	Asthma, susceptibility to;Allergic rhinitis, susceptibility to
IL17F	Candidiasis, familial, 6
IL17RA	Immunodeficiency 51
IL17RC	Candidiasis, familial, 9
IL17RD	Delayed puberty;Cerebral arteriovenous malformation;HYPOGONADOTROPIC HYPOGONADISM 18 WITH ANOSMIA, SUSCEPTIBILITY TO;Hypogonadotropic hypogonadism 18 with anosmia
IL1B	Gastric cancer susceptibility after h. pylori infection
IL1RAPL1	Schizophrenia;Autistic disorder of childhood onset;Mental retardation 21, X-linked;Intellectual disability;Congenital adrenal hypoplasia, X-linked
IL21	Common variable immunodeficiency 11
IL21R	IL21R immunodeficiency
IL2RA	Interleukin 2 receptor, alpha, deficiency of
IL2RB	Ichthyosis
IL2RG	X-linked severe combined immunodeficiency;Combined immunodeficiency, X-linked;Inborn genetic diseases
IL31RA	Amyloidosis, primary localized cutaneous, 2
IL36RN	Pustular psoriasis, generalized
IL4R	Acquired immunodeficiency syndrome, slow progression to;Atopy, resistance to;Atopy, susceptibility to
IL7R	Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-positive, NK cell-positive;Severe combined immunodeficiency disease;Lymphoblastic leukemia, acute, with lymphomatous features
ILDR1	Deafness;Congenital sensorineural hearing impairment;Deafness, autosomal recessive 42
IMPA1	Mental retardation, autosomal recessive 59
IMPAD1	Chondrodysplasia with joint dislocations, GPAPP type
IMPDH1	Retinitis pigmentosa;Leber congenital amaurosis 11;Retinitis pigmentosa 10
IMPG1	Macular dystrophy;Macular dystrophy, vitelliform, 4
IMPG2	Retinitis pigmentosa;Abnormality of the eye;Macular dystrophy, vitelliform, 5;Retinal dystrophy;Retinitis pigmentosa 56
INA	Abnormality of brain morphology
INCENP	Nephronophthisis
INF2	Focal segmental glomerulosclerosis 5;Charcot-Marie-Tooth disease, dominant intermediate E
ING1	Squamous cell carcinoma of the head and neck
INO80	Primary microcephaly;Intellectual disability;Seizures
INPP4A	Dyskeratosis congenita autosomal dominant
INPP5B	Dent disease 2
INPP5E	Pseudoarthrosis;Coat hanger sign of ribs;MORM syndrome;Interstitial pulmonary abnormality;Joubert Syndrome and Related Disorders;Respiratory failure;Cleft palate;Preaxial foot polydactyly;Vertebral segmentation defect;Vertebral hypoplasia;Talipes equinovarus;Micrognathia;Joubert syndrome;Absent epiphyses;Chronic lung disease;Hemivertebrae;Short femur;Skeletal dysplasia;Joubert syndrome 1;Patent ductus arteriosus
INPP5K	Muscular dystrophy, congenital, with cataracts and intellectual disability
INPPL1	Opsismodysplasia
INS	Monogenic diabetes;Maturity-onset diabetes of the young, type 10;Diabetes mellitus, insulin-dependent, 2;Hyperproinsulinemia;Permanent neonatal diabetes mellitus;Neonatal diabetes mellitus
INS-IGF2	Diabetes mellitus, insulin-dependent, 2;Permanent neonatal diabetes mellitus;Neonatal diabetes mellitus
INSL3	Cryptorchidism
INSL6	Myeloproliferative disorder;Lymphoblastic leukemia, acute, with lymphomatous features
INSR	Pineal hyperplasia AND diabetes mellitus syndrome;Insulin-resistant diabetes mellitus;Insulin-resistant diabetes mellitus AND acanthosis nigricans;Hyperinsulinemic hypoglycemia familial 5;Leprechaunism syndrome;Diabetes mellitus type 2;Insulin resistance
INTU	Short-rib thoracic dysplasia 7/20 with polydactyly, digenic;OROFACIODIGITAL SYNDROME XVII;SHORT-RIB THORACIC DYSPLASIA 20 WITH POLYDACTYLY
INVS	Nephronophthisis;Infantile nephronophthisis
IQCB1	Nephronophthisis;Senior-Loken syndrome 5;Leber congenital amaurosis;Retinal dystrophy
IQCE	Inborn genetic diseases;POLYDACTYLY, POSTAXIAL, TYPE A7
IQSEC2	Schizophrenia;Autistic disorder of childhood onset;Intellectual disability;Autism spectrum disorder;Severe intellectual deficiency;Mental retardation, X-linked 1;Inborn genetic diseases;Mental retardation, X-linked 18
IRAK3	Asthma-related traits, susceptibility to, 5
IRAK4	IRAK4 deficiency;Invasive pneumococcal disease, recurrent isolated, 1
IREB2	NEURODEGENERATION, EARLY-ONSET, WITH CHOREOATHETOSIS AND MICROCYTIC ANEMIA;NEURODEGENERATION, EARLY-ONSET, WITH CHOREOATHETOID MOVEMENTS AND MICROCYTIC ANEMIA
IRF1	Neoplasm of stomach;Non-small cell lung cancer
IRF2BP2	IMMUNODEFICIENCY, COMMON VARIABLE, 14
IRF2BPL	NEURODEVELOPMENTAL DISORDER WITH REGRESSION, ABNORMAL MOVEMENTS, LOSS OF SPEECH, AND SEIZURES;IRF2BPL-related condition;Inborn genetic diseases
IRF3	Squamous cell carcinoma of the skin;Malignant melanoma of skin;Herpes simplex encephalitis, susceptibility to, 7
IRF5	Systemic lupus erythematosus, association wit 10;Systemic lupus erythematosus 10
IRF6	Popliteal pterygium syndrome;Orofacial cleft 6, susceptibility to;Van der Woude syndrome
IRF7	Immunodeficiency 39
IRF8	Immunodeficiency 32b;Immunodeficiency 32a
IRGM	Inflammatory bowel disease 19
IRS1	Coronary artery disease, susceptibility to;Insulin resistance, susceptibility to;Diabetes mellitus type 2
IRS2	DIABETES, TYPE II, SUSCEPTIBILITY TO
IRX5	Hamamy syndrome
ISCA1	MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 5;Multiple mitochondrial dysfunctions syndrome
ISCA2	Multiple mitochondrial dysfunctions syndrome 4
ISCU	Myopathy with lactic acidosis, hereditary
ISG15	Immunodeficiency 38 with basal ganglia calcification
ITCH	Autoimmune disease, syndromic multisystem
ITGA2B	Platelet-type bleeding disorder 16;Glanzmann thrombasthenia
ITGA3	Interstitial lung disease, nephrotic syndrome, and epidermolysis bullosa, congenital
ITGA6	Epidermolysis bullosa junctionalis with pyloric atresia;Childhood-Onset Schizophrenia
ITGA7	Muscular dystrophy, congenital, due to integrin alpha-7 deficiency;Abnormality of brain morphology;Muscular dystrophy, congenital, due to ITGA7 deficiency
ITGA8	Renal adysplasia
ITGB1	Neural tube defect
ITGB2	Leukocyte adhesion deficiency type 1;Leukocyte adhesion deficiency
ITGB3	Platelet-type bleeding disorder 16;Glanzmann thrombasthenia;Abnormal bleeding;Prolonged bleeding time
ITGB4	Adult junctional epidermolysis bullosa;Epidermolysis bullosa junctionalis with pyloric atresia;Epidermolysis bullosa simplex, Cockayne-Touraine type
ITGB6	Adolescent alopeciam dentogingival abnormalitites and intellectual disability;Amelogenesis imperfecta, type IH
ITIH6	Short stature
ITK	Lymphoproliferative syndrome 1;Inborn genetic diseases
ITM2B	Dementia familial British;Retinal dystrophy with inner retinal dysfunction and ganglion cell abnormalities;Dementia, familial Danish
ITPA	Inosine triphosphatase deficiency;Epileptic encephalopathy, early infantile, 35
ITPKC	Kawasaki disease, susceptibility to
ITPR1	Spinocerebellar ataxia 29;Spinocerebellar ataxia 15;ITPR1-associated cerebellar ataxia spectrum disorder;Gillespie syndrome;Inborn genetic diseases
ITPR2	Anhidrosis, isolated, with normal sweat glands
ITSN1	Inborn genetic diseases
ITSN2	Epilepsy, focal, with speech disorder and with or without mental retardation
IVD	Isovaleric acidemia, type I;Isovaleryl-CoA dehydrogenase deficiency
IYD	Iodotyrosine deiodination defect
JAG1	Arteriohepatic dysplasia;Alagille syndrome 1;Deafness, congenital heart defects, and posterior embryotoxon;Tetralogy of Fallot;Inborn genetic diseases
JAGN1	Severe congenital neutropenia 6, autosomal recessive;Severe congenital neutropenia
JAK1	Leukemia, acute, ?X-linked;Acute myeloid leukemia;Polycythemia vera;Inborn genetic diseases;Lymphoblastic leukemia, acute, with lymphomatous features
JAK2	Subacute lymphoid leukemia;Thrombocythemia 3;Familial erythrocytosis, 1;Chronic myelogenous leukemia;Budd-Chiari syndrome;Lymphoblastic leukemia, acute, with lymphomatous features;Acute myeloid leukemia;ERYTHROCYTOSIS, JAK2-RELATED, SOMATIC;Myelofibrosis;Polycythemia vera;Budd-Chiari syndrome, susceptibility to, somatic;Myeloproliferative disorder
JAK3	Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-positive, NK cell-negative;Severe combined immunodeficiency disease;Myeloproliferative Neoplasm;Acute megakaryoblastic leukemia;Leukemoid Reaction
JAKMIP1	Smith-Magenis Syndrome-like
JAM3	Hemorrhagic destruction of the brain, subependymal calcification, and cataracts
JPH1	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2K, MODIFIER OF
JPH2	Familial hypertrophic cardiomyopathy 17
JPH3	Huntington disease-like 2
JUP	Naxos disease;Arrhythmogenic right ventricular cardiomyopathy, type 12
KALRN	Coronary heart disease 5
KANK1	Abnormality of brain morphology
KANK2	Nephrotic syndrome type 16;Palmoplantar keratoderma and woolly hair
KANSL1	Koolen-de Vries syndrome;Inborn genetic diseases
KARS	Charcot-Marie-Tooth disease, recessive intermediate B;Abnormality of the cerebral white matter;Progressive cerebellar ataxia;Deafness, autosomal recessive 89;Lactic acidosis;Global developmental delay;Sensorineural hearing loss;Abnormal pyramidal signs;Congenital sensorineural hearing impairment;Nonsyndromic hearing loss and deafness;Inborn genetic diseases;Muscular hypotonia;Optic neuropathy
KAT14	Global developmental delay;Seizures
KAT6A	Syndromic intellectual disability;Inborn genetic diseases;History of neurodevelopmental disorder;KAT6A syndrome;Mental retardation, autosomal dominant 32
KAT6B	Hypertelorism;Short distal phalanx of toe;Bulbous nose;Hypoplasia of the maxilla;Intellectual disability;KBG syndrome;Abnormal facial shape;Genitopatellar syndrome;Vesicoureteral reflux;KAT6B-Related Spectrum Disorders;Telecanthus;Young Simpson syndrome;Talipes equinovarus;Short nose;Spinal deformities;Poor speech;Tapered finger;Epicanthus;Renal hypoplasia;Blepharophimosis;Inborn genetic diseases;Cryptorchidism
KATNAL2	Schizophrenia
KATNB1	Lissencephaly 6, with microcephaly
KBTBD13	Nemaline myopathy 6
KCNA1	Episodic ataxia type 1;Myokymia 1;Inborn genetic diseases;Myokymia 1 with hypomagnesemia
KCNA2	Epileptic encephalopathy, early infantile, 32
KCNA4	MICROCEPHALY, CATARACTS, IMPAIRED INTELLECTUAL DEVELOPMENT, AND DYSTONIA WITH ABNORMAL STRIATUM
KCNA5	Atrial fibrillation, familial, 7
KCNB1	KCNB1-related disorder;Intellectual disability;Epileptic encephalopathy;Seizures;Difficulty walking;Delayed speech and language development;Inborn genetic diseases;Epileptic encephalopathy, early infantile, 26;Generalized hypotonia
KCNC1	Epilepsy, progressive myoclonic 7
KCNC3	Spinocerebellar ataxia 13
KCND1	Short stature
KCND3	Spinocerebellar ataxia 19
KCNE1	Long QT syndrome;Congenital long QT syndrome;Jervell and Lange-Nielsen syndrome 2;Long QT syndrome 5
KCNE2	Congenital long QT syndrome;Long qt syndrome 3/6, digenic
KCNH1	Temple-Baraitser syndrome;Zimmermann-Laband syndrome 1;KCNH1-related phenotype;Inborn genetic diseases
KCNH2	Arrhythmia;Long QT syndrome 1/2, digenic;short QT syndrome;Cardiac arrhythmia;Long QT syndrome 2;Cardiovascular phenotype;Long QT syndrome 2, acquired, susceptibility to;Long QT syndrome 1;Long QT syndrome 2/5;Congenital long QT syndrome;Long QT syndrome;Short QT syndrome 1;Brugada syndrome
KCNJ1	Bartter syndrome, type 2, antenatal
KCNJ10	SeSAME syndrome;Enlarged vestibular aqueduct
KCNJ11	Diabetes mellitus, permanent neonatal, with neurologic features;Hypertrichosis;-;Islet cell hyperplasia;Transient neonatal diabetes mellitus 3;DEND syndrome;Hypoglycemia;Atopic dermatitis;Permanent neonatal diabetes mellitus;Diabetes mellitus type 2;Maturity-onset diabetes of the young, type 13;Neonatal diabetes mellitus;Hyperinsulinemia;Neonatal insulin-dependent diabetes mellitus
KCNJ13	Snowflake vitreoretinal degeneration;Leber congenital amaurosis 16;Leber congenital amaurosis
KCNJ18	Thyrotoxic periodic paralysis;Thyrotoxic periodic paralysis 2
KCNJ2	Arrhythmia;short QT syndrome;Short QT syndrome 3;Cardiovascular phenotype;Supraventricular tachycardia;Congenital long QT syndrome;Ventricular tachycardia;Andersen Tawil syndrome;Familial periodic paralysis
KCNJ5	Aldosterone-producing adrenal adenoma, somatic;Familial hyperaldosteronism type 3;Andersen Tawil syndrome
KCNJ6	Keppen-Lubinsky syndrome
KCNK18	Migraine, with or without aura 13
KCNK3	Primary pulmonary hypertension 4;Primary pulmonary hypertension
KCNK4	Intellectual disability;Gingival overgrowth;Generalized hypertrichosis;FACIAL DYSMORPHISM, HYPERTRICHOSIS, EPILEPSY, INTELLECTUAL/DEVELOPMENTAL DELAY, AND GINGIVAL OVERGROWTH SYNDROME;Seizures;Abnormal facial shape
KCNK9	Birk Barel mental retardation dysmorphism syndrome
KCNMA1	CEREBELLAR ATROPHY, DEVELOPMENTAL DELAY, AND SEIZURES;Generalized epilepsy and paroxysmal dyskinesia
KCNN2	Inborn genetic diseases
KCNN4	Dehydrated hereditary stomatocytosis 2
KCNQ1	short QT syndrome;Jervell and Lange-Nielsen syndrome;Cardiac arrhythmia;Long QT syndrome, LQT1 subtype;Long QT syndrome 1;Long QT syndrome;Congenital long QT syndrome;Atrial fibrillation, familial, 3;Marfan syndrome;Short QT syndrome 2;Jervell and Lange-Nielsen syndrome 1;Long QT syndrome 1/2, digenic;Atrial fibrillation;Cardiovascular phenotype;Romano-Ward syndrome;Prolonged QT interval
KCNQ1OT1	Long QT syndrome 1
KCNQ2	Intellectual disability;Epileptic encephalopathy;Epileptic encephalopathy, early infantile, 1;KCNQ2-Related Disorders;Seizures;Severe intellectual deficiency;Early infantile epileptic encephalopathy 7;Inborn genetic diseases;Early infantile epileptic encephalopathy;Generalized hypotonia
KCNQ3	Rolandic epilepsy
KCNQ4	Nonsyndromic hearing loss and deafness;DFNA 2 Nonsyndromic Hearing Loss
KCNQ5	MENTAL RETARDATION, AUTOSOMAL DOMINANT 46
KCNT1	Early infantile epileptic encephalopathy 14;Epilepsy, nocturnal frontal lobe, 5;Malignant migrating partial seizures of infancy;Seizures
KCNT2	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 57;KCNT2-related condition
KCNV2	Retinal cone dystrophy 3B;Retinal dystrophy
KCTD1	Scalp ear nipple syndrome
KCTD17	Dystonia 26, myoclonic
KCTD19	Cerebral visual impairment and intellectual disability
KCTD3	Severe global developmental delay;Seizures;Congenital cerebellar hypoplasia
KCTD7	Inborn genetic diseases;Epilepsy, progressive myoclonic 3
KDF1	Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type
KDM1A	Cleft palate, psychomotor retardation, and distinctive facial features
KDM2B	Infantile spasms;Global developmental delay;Microcephaly;Muscular hypotonia
KDM5B	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 65
KDM5C	Smith-Magenis Syndrome-like;Schizophrenia;Autistic disorder of childhood onset;Intellectual disability;Mental retardation, syndromic, Claes-Jensen type, X-linked;Spastic paraplegia;Inborn genetic diseases;History of neurodevelopmental disorder
KDM6A	Kabuki syndrome 1;Schizophrenia;Autistic disorder of childhood onset;Inborn genetic diseases;Kabuki syndrome 2
KDR	Hemangioma, capillary infantile
KDSR	Erythrokeratodermia variabilis et progressiva 4
KERA	Cornea plana 2
KHDC3L	Hydatidiform mole, recurrent, 2
KIAA0556	Joubert syndrome;Joubert syndrome 26
KIAA0586	Joubert Syndrome and Related Disorders;Short-rib thoracic dysplasia 14 with polydactyly;Meckel-Gruber syndrome;Joubert syndrome 23;Jeune thoracic dystrophy
KIAA0753	Joubert syndrome;Jeune thoracic dystrophy;Orofaciodigital syndrome XV
KIAA1109	Pleural effusion;Micrognathia;ALKURAYA-KUCINSKAS SYNDROME;Hydrocephalus;Flexed deformity;Dandy-Walker syndrome;Talipes equinovarus
KIDINS220	Spastic paraplegia, intellectual disability, nystagmus, and obesity
KIF11	Microcephaly;Inborn genetic diseases;Microcephaly with or without chorioretinopathy, lymphedema, or mental retardation;Retinal dysplasia;Lymphoedema
KIF14	MICROCEPHALY 20, PRIMARY, AUTOSOMAL RECESSIVE;Meckel syndrome 12
KIF1A	Spastic paraplegia;Hyperreflexia;Spastic paraplegia 30, autosomal recessive;PEHO syndrome;Mental retardation, autosomal dominant 9;Hereditary sensory and autonomic neuropathy type IIA;Hereditary sensory and autonomic neuropathy type IIC;Lower limb hyperreflexia;Clonus;Inborn genetic diseases
KIF1B	Neuroblastoma;Charcot-Marie-Tooth disease, type 2A1;Pheochromocytoma;Neuroblastoma 1;Charcot-Marie-Tooth disease
KIF1BP	Goldberg-Shprintzen megacolon syndrome;Shprintzen-Goldberg syndrome
KIF1C	Ataxia, spastic, 2, autosomal recessive;Spastic ataxia
KIF21A	Fibrosis of extraocular muscles, congenital, 3b;Fibrosis of extraocular muscles, congenital, 1
KIF22	Spondyloepimetaphyseal dysplasia with multiple dislocations
KIF23	Microcephaly
KIF2A	Cortical dysplasia, complex, with other brain malformations 3
KIF4A	Agenesis of corpus callosum;Hydrocephalus;Mental retardation, X-linked 100;Ventriculomegaly;Multicystic kidney dysplasia
KIF5A	Myoclonus, intractable, neonatal;AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 25;Hereditary spastic paraplegia;Spastic paraplegia;Spastic paraplegia 10
KIF5B	Global developmental delay;Brain atrophy;Hypoplasia of the corpus callosum;Seizures;Attention deficit hyperactivity disorder
KIF5C	Mental retardation, autosomal dominant 1;Cortical dysplasia, complex, with other brain malformations 2
KIF7	Nystagmus;Postaxial hand polydactyly;Strabismus;Spasticity;Joubert syndrome 12;Acrocallosal syndrome, Schinzel type;Hydrolethalus syndrome 2;Macrocephaly with multiple epiphyseal dysplasia and distinctive facies;Joubert syndrome 12/15, digenic;Ventriculomegaly;Cerebellar ataxia;Inborn genetic diseases;Postaxial foot polydactyly
KIRREL3	Mental retardation, autosomal dominant 4
KISS1	Hypogonadotropic hypogonadism 13 with or without anosmia
KISS1R	Hypogonadotropic hypogonadism 8 with or without anosmia;Hypogonadotropic hypogonadism 8 without anosmia
KIT	Gastrointestinal stroma tumor;11q23.3);Gastrointestinal stromal tumor, familial;Hematologic neoplasm;Cutaneous mastocytosis;Cutaneous melanoma;Myeloproliferative Neoplasm;Adenocarcinoma of stomach;Piebaldism with sensorineural deafness;B Lymphoblastic Leukemia/Lymphoma with t(v;Mastocytosis;Mast cell disease, systemic; KMT2A Rearranged;Piebaldism, progressive;Acute myeloid leukemia;Non-small cell lung cancer;MASTOCYTOSIS, SYSTEMIC, SOMATIC;Partial albinism;MASTOCYTOSIS, CUTANEOUS AND SYSTEMIC, SOMATIC;Thymoma;Malignant melanoma of skin
KITLG	Familial progressive hyperpigmentation with or without hypopigmentation;Deafness, autosomal dominant 69
KIZ	Retinitis pigmentosa 69
KL	Tumoral calcinosis, familial, hyperphosphatemic;Hyperphosphatemic familial tumoral calcinosis 3
KLC2	Spastic paraplegia, optic atrophy, and neuropathy
KLF1	Congenital dyserythropoietic anemia, type IV;Fetal hemoglobin quantitative trait locus 6;HEREDITARY PERSISTENCE OF FETAL HEMOGLOBIN, KLF1-RELATED;BLOOD GROUP--LUTHERAN INHIBITOR
KLF11	Maturity-onset diabetes of the young, type 7
KLF6	Neoplasm of stomach;Prostate cancer, somatic
KLHDC8B	Hodgkin lymphoma
KLHL10	Spermatogenic failure 11
KLHL15	Abnormality of brain morphology
KLHL24	Epidermolysis bullosa simplex, generalized, with scarring and hair loss;Epidermolysis bullosa simplex, Koebner type
KLHL3	Pseudohypoaldosteronism, type 2;Pseudohypoaldosteronism type 2D
KLHL40	Nemaline myopathy 8
KLHL41	Nemaline myopathy 9;Nemaline myopathy
KLHL7	Ulnar deviation of the wrist;Retinitis pigmentosa;Cold-induced sweating syndrome 1;Cold-induced sweating syndrome 3;Retinitis pigmentosa 42
KLK4	Amelogenesis imperfecta, hypomaturation type, IIA1
KLKB1	Prekallikrein deficiency
KMT2A	Kabuki syndrome 1;Wiedemann-Steiner syndrome;Intellectual disability;Acute megakaryoblastic leukemia;Inborn genetic diseases
KMT2B	Dystonia 28, childhood-onset;Inborn genetic diseases
KMT2C	Intellectual disability;KLEEFSTRA SYNDROME 2
KMT2D	Smith-Magenis Syndrome-like;Kabuki syndrome 1;Mental retardation, autosomal dominant 26;Cavernous Sinus Meningioma;Kabuki syndrome;Inborn genetic diseases;Complement component c1s deficiency
KMT2E	intellectual deficiency;Leukoencephalopathy;Macrocephalus;Epilepsy;Mental Retardation
KMT5B	MENTAL RETARDATION, AUTOSOMAL DOMINANT 51;Inborn genetic diseases
KNG1	Kininogen deficiency, total
KNL1	Primary autosomal recessive microcephaly 4
KPNA7	Intellectual disability, mild
KPTN	Mental retardation, autosomal recessive 41
KRAS	Gastrointestinal stroma tumor;Squamous cell lung carcinoma;Ovarian Neoplasms;Adenocarcinoma of stomach;Angiosarcoma;Hepatocellular carcinoma;Noonan syndrome;Neoplasm of the thyroid gland;Transitional cell carcinoma of the bladder;Juvenile myelomonocytic leukemia;Acute myeloid leukemia;RAS-associated autoimmune leukoproliferative disorder;Noonan syndrome 3;Lung cancer;Lung adenocarcinoma;Rasopathy;Malignant neoplasm of body of uterus;Multiple myeloma;Chronic lymphocytic leukemia;Pancreatic adenocarcinoma;Adenoid cystic carcinoma;Breast adenocarcinoma;Cardiofaciocutaneous syndrome 2;Pilocytic astrocytoma;Medullary thyroid carcinoma;Neoplasm of the large intestine;Non-small cell lung cancer;Carcinoma of esophagus;Bladder cancer, transitional cell, somatic;Bladder cancer, somatic;Endometrial carcinoma;Malignant melanoma of skin
KREMEN1	Ectodermal dysplasia 13, hair/tooth type
KRIT1	Cerebral cavernous malformations 1;Cerebral cavernous malformation;Cavernous hemangioma
KRT1	Bullous ichthyosiform erythroderma;Erythroderma, ichthyosiform, congenital reticular
KRT10	Bullous ichthyosiform erythroderma;Erythroderma, ichthyosiform, congenital reticular
KRT12	Meesmans corneal dystrophy
KRT16	Pachyonychia congenita 1;Palmoplantar keratoderma, nonepidermolytic, focal
KRT17	Anonychia
KRT2	Ichthyosis bullosa of Siemens
KRT25	Hypotrichosis 8;Autosomal Recessive Hypotrichosis with Woolly Hair;Autosomal recessive woolly hair 3
KRT4	White sponge nevus of cannon
KRT5	Epidermolysis bullosa simplex, Koebner type;Epidermolysis bullosa simplex
KRT6A	Pachyonychia congenita 3
KRT71	Hypotrichosis 13
KRT81	Beaded hair
